surface,winner_rank,loser_rank
Hard,88,57
Hard,70,176
Hard,27,28
Hard,28,41
Hard,27,24
Hard,28,9
Hard,41,191
Hard,27,45
Hard,24,112
Hard,9,103
Hard,28,90
Hard,191,29
Hard,41,118
Hard,45,58
Hard,27,129
Hard,112,59
Hard,24,57
Hard,103,492
Hard,90,67
Hard,28,123
Hard,191,192
Hard,118,71
Hard,41,256
Hard,45,92
Hard,58,111
Hard,129,134
Hard,59,37
Hard,112,257
Hard,57,94
Hard,16,47
Hard,47,53
Hard,16,33
Hard,53,26
Hard,47,18
Hard,16,38
Hard,33,12
Hard,53,11
Hard,26,56
Hard,18,45
Hard,47,121
Hard,38,180
Hard,16,54
Hard,33,55
Hard,12,51
Hard,53,106
Hard,56,57
Hard,26,
Hard,45,
Hard,121,46
Hard,47,37
Hard,180,22
Hard,38,99
Hard,54,336
Hard,33,185
Hard,55,88
Hard,51,122
Clay,10,67
Clay,10,25
Clay,67,167
Clay,10,214
Clay,25,75
Clay,167,18
Clay,67,31
Clay,10,97
Clay,214,50
Clay,25,51
Clay,75,62
Clay,167,42
Clay,18,59
Clay,31,71
Clay,67,155
Clay,97,98
Clay,50,76
Clay,214,27
Clay,51,113
Clay,75,70
Clay,62,23
Clay,42,38
Clay,167,58
Clay,59,107
Clay,31,40
Clay,71,57
Clay,67,152
Clay,90,104
Clay,90,83
Clay,104,63
Clay,90,135
Clay,83,113
Clay,63,93
Clay,104,66
Clay,90,73
Clay,135,40
Clay,83,126
Clay,113,114
Clay,93,80
Clay,63,69
Clay,66,62
Clay,104,91
Clay,90,8
Clay,73,445
Clay,135,140
Clay,40,46
Clay,83,17
Clay,126,99
Clay,113,76
Clay,114,47
Clay,80,44
Clay,93,103
Clay,69,117
Clay,63,19
Clay,62,43
Clay,66,55
Clay,91,95
Clay,104,16
Hard,41,30
Hard,30,82
Hard,41,38
Hard,30,64
Hard,82,61
Hard,41,52
Hard,38,47
Hard,30,62
Hard,64,48
Hard,61,154
Hard,82,54
Hard,52,51
Hard,41,63
Hard,47,46
Hard,38,49
Hard,30,89
Hard,62,119
Hard,64,96
Hard,48,105
Hard,154,43
Hard,61,67
Hard,54,99
Hard,82,58
Hard,51,101
Hard,52,74
Hard,63,71
Hard,41,212
Hard,46,76
Hard,47,50
Hard,49,106
Hard,38,73
Hard,89,253
Hard,119,
Hard,96,84
Hard,105,98
Hard,154,111
Hard,67,75
Hard,99,97
Hard,82,83
Hard,101,77
Hard,74,705
Hard,71,69
Hard,212,120
Hard,76,155
Hard,47,87
Hard,106,100
Hard,73,329
Hard,34,32
Hard,34,57
Hard,32,54
Hard,57,55
Hard,34,106
Hard,54,95
Hard,32,66
Hard,57,14
Hard,55,42
Hard,34,94
Hard,106,100
Hard,54,117
Hard,95,39
Hard,66,46
Hard,32,405
Hard,57,71
Hard,55,138
Hard,42,70
Hard,94,84
Hard,100,102
Hard,106,41
Hard,54,43
Hard,117,88
Hard,95,101
Hard,66,180
Hard,405,53
Hard,1,2
Hard,15,3
Hard,17,4
Hard,39,6
Hard,24,7
Hard,149,8
Hard,1,9
Hard,97,10
Hard,24,11
Hard,31,12
Hard,23,13
Hard,57,14
Hard,2,15
Hard,1,19
Hard,31,17
Hard,93,18
Hard,57,16
Hard,15,20
Hard,39,21
Hard,19,22
Hard,15,24
Hard,9,23
Hard,55,25
Hard,1,27
Hard,7,28
Hard,2,29
Hard,1,31
Hard,155,30
Hard,50,33
Hard,35,34
Hard,44,32
Hard,1,230
Hard,3,189
Hard,9,176
Hard,15,200
Hard,19,119
Hard,16,206
Hard,20,170
Hard,20,137
Hard,23,163
Hard,28,125
Hard,29,166
Hard,30,133
Hard,189,150
Hard,82,144
Hard,71,252
Hard,39,109
Hard,1,177
Hard,2,237
Hard,4,155
Hard,31,149
Hard,32,261
Hard,155,105
Hard,102,130
Hard,62,169
Hard,2,48
Hard,2,57
Hard,2,39
Hard,3,101
Hard,3,50
Hard,4,67
Hard,4,36
Hard,6,42
Hard,7,88
Hard,7,81
Hard,8,61
Hard,9,73
Hard,9,44
Hard,11,63
